edge_energy,edge_slope,wl_energy,wl_intensity,curvature_wl,pit_energy,pit_intensity,curvature_pit
6.548929379999999583e+03,-1.249930168693537780e+04,6.562869490000000042e+03,1.000000000000000000e+00,-6.611229946248964318e-05,6.563045869999999923e+03,9.998237005347666573e-01,-1.322245989250903087e-04
6.548929379999999583e+03,-1.255309762559775663e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.529880927409800861e-04,6.575387869999999566e+03,8.131192790006412929e-01,3.000398788297331532e-04
6.548752849999999853e+03,-1.255041355703385852e+04,6.563045869999999923e+03,1.000000000000000000e+00,-5.299911853632877090e-04,6.574682850000000144e+03,8.199089952135611981e-01,2.407043300191036295e-04
6.548929379999999583e+03,-1.254332792916600374e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.096174340446178341e-04,6.575387869999999566e+03,8.260126944917201008e-01,2.631748189379501390e-04
6.548929379999999583e+03,-1.255095578589450815e+04,6.562693100000000413e+03,1.000000000000000000e+00,-2.881349128162624673e-04,6.562869490000000042e+03,9.997340293112465526e-01,-2.216422406278728552e-05
6.549105919999999969e+03,-2.204543192027989789e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.993063533979379631e-04,6.572920189999999820e+03,8.509345015392684175e-01,-8.207963930959016885e-05
6.548929379999999583e+03,-1.275575404030951540e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.998316300120596800e-04,6.572743910000000142e+03,8.558740251016428990e-01,2.687757068414453610e-04
6.548929379999999583e+03,-1.255446724172870199e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.114660827763238160e-04,6.572743910000000142e+03,8.605076900708867882e-01,3.114660827762960604e-04
6.548929379999999583e+03,-1.282949170195403713e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.118423189806263096e-04,6.572743910000000142e+03,8.658810734966906342e-01,3.407991057431669635e-04
6.549105919999999969e+03,-1.254587394814165964e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.345748857152275324e-04,6.572038779999999861e+03,8.720407197085868756e-01,4.684048400013796076e-05
6.549105919999999969e+03,-1.255264999759839156e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.456737478357395865e-04,6.572391349999999875e+03,8.753853415068780786e-01,1.563378395319503511e-05
6.549105919999999969e+03,-1.255124088657824541e+04,6.563045869999999923e+03,1.000000000000000000e+00,-4.023818501822096216e-04,6.571686209999999846e+03,8.805462414092591894e-01,4.649745824327200516e-04
6.549105919999999969e+03,-1.255941690987886614e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.013664422484962024e-04,6.572391349999999875e+03,8.837175918162958332e-01,8.949619655482243807e-05
6.549105919999999969e+03,-1.251524286634538294e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.014624364199968376e-04,6.572038779999999861e+03,8.869392806811464691e-01,1.119235757888192850e-04
6.549105919999999969e+03,-1.254385415823960284e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.911151303909287336e-04,6.572038779999999861e+03,8.891254435698846548e-01,1.164460521564103512e-04
6.549105919999999969e+03,-1.254253973128502184e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.586497625470419504e-04,6.570981039999999666e+03,8.940996913639467358e-01,3.720991286424446542e-04
6.549105919999999969e+03,-1.241879119542300032e+04,6.562869490000000042e+03,1.000000000000000000e+00,-2.019272003800920423e-04,6.571686209999999846e+03,8.951055503092374410e-01,2.916726227712440611e-04
6.549105919999999969e+03,-1.254745997798037570e+04,6.563045869999999923e+03,1.000000000000000000e+00,-4.035791153763346184e-04,6.570981039999999666e+03,8.975805889422855399e-01,2.825053807634370084e-04
6.549105919999999969e+03,-1.253768936574645159e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.016925500957500450e-04,6.570981039999999666e+03,8.986158781518831518e-01,3.361542501594816379e-04
6.549105919999999969e+03,-1.252637508161173719e+04,6.563045869999999923e+03,1.000000000000000000e+00,-4.484856389067870541e-04,6.570981039999999666e+03,8.995392168848743708e-01,2.242428194534074049e-04
6.549105919999999969e+03,-1.248753688747687738e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.244664074348701188e-04,6.570981039999999666e+03,9.008756344767472335e-01,2.918063296653561345e-04
6.549282449999999699e+03,-1.259521116326825540e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.471103655188322534e-04,6.571686209999999846e+03,9.018747203103790744e-01,4.268269949869452073e-04
